ts_code,end_date,bz_item,bz_code,bz_sales,bz_profit,bz_cost,curr_type
300981.SZ,20250630,防护手套,P,1107390557.94,99456354.42,1007934203.52,CNY
300981.SZ,20250630,国外,D,993163314.28,103877321.11,889285993.17,CNY
300981.SZ,20250630,医疗器械行业,I,1237534880.54,140590979.43,1096943901.11,CNY
300981.SZ,20250630,创新孵化产品,P,53217483.84,25686070.52,27531413.32,CNY
300981.SZ,20250630,安全注输产品,P,76926838.76,15448554.49,61478284.27,CNY
300981.SZ,20250630,中国大陆,D,244371566.26,36713658.32,207657907.94,CNY
300981.SZ,20250630,防护手套,P,1107390557.94,99456354.42,1007934203.52,CNY
300981.SZ,20250630,国外,D,993163314.28,103877321.11,889285993.17,CNY
300981.SZ,20250630,医疗器械行业,I,1237534880.54,140590979.43,1096943901.11,CNY
300981.SZ,20250630,创新孵化产品,P,53217483.84,25686070.52,27531413.32,CNY
300981.SZ,20250630,安全注输产品,P,76926838.76,15448554.49,61478284.27,CNY
300981.SZ,20250630,中国大陆,D,244371566.26,36713658.32,207657907.94,CNY
300981.SZ,20241231,医疗器械行业,I,2456650714.86,328467187.96,2128183526.9,CNY
300981.SZ,20241231,安全注输产品,P,183732624.5,39630050.63,144102573.87,CNY
300981.SZ,20241231,国外,D,2003659014.46,242441270.54,1761217743.92,CNY
300981.SZ,20241231,中国大陆,D,452991700.4,86025917.42,366965782.98,CNY
300981.SZ,20241231,防护手套,P,2145462419.54,229745440.69,1915716978.85,CNY
300981.SZ,20241231,创新孵化产品,P,127455670.82,59091696.64,68363974.18,CNY
300981.SZ,20240630,医疗器械行业,I,1148451821.02,137295421.81,1011156399.21,CNY
300981.SZ,20240630,国外,D,944700530.08,101686105.26,843014424.82,CNY
300981.SZ,20240630,中国大陆,D,203751290.94,35609316.55,168141974.39,CNY
300981.SZ,20240630,安全注输产品,P,96056346.0,18551717.97,77504628.03,CNY
300981.SZ,20240630,创新孵化产品,P,62613945.01,30141770.08,32472174.93,CNY
300981.SZ,20240630,防护手套,P,989781530.01,88601933.76,901179596.25,CNY
300981.SZ,20231231,中国大陆,D,439084750.72,116318234.47,322766516.25,CNY
300981.SZ,20231231,创新孵化产品,P,58268319.66,24700542.76,33567776.9,CNY
300981.SZ,20231231,防护手套,P,1833718412.78,181913105.76,1651805307.02,CNY
300981.SZ,20231231,安全注输产品,P,213262874.62,48109564.66,165153309.96,CNY
300981.SZ,20231231,国外,D,1666164856.34,138404978.71,1527759877.63,CNY
300981.SZ,20231231,医疗器械行业,I,2105249607.06,254723213.18,1850526393.88,CNY
300981.SZ,20230630,防护手套,P,886638835.33,,,CNY
300981.SZ,20230630,安全注输产品,P,108398420.33,,,CNY
300981.SZ,20230630,国外,D,957327724.15,,,CNY
300981.SZ,20230630,中国大陆,D,37709531.51,,,CNY
300981.SZ,20230630,其他业务,P,3845395.09,,,CNY
300981.SZ,20230630,其他业务(地区),D,3845395.09,,,CNY
300981.SZ,20221231,防护手套,P,1540100417.09,145761295.44,1394339121.65,CNY
300981.SZ,20221231,健康防护手套(行业),I,1540100417.09,145761295.44,1394339121.65,CNY
300981.SZ,20221231,国外,D,1468452923.29,149112138.22,1319340785.07,CNY
300981.SZ,20221231,中国大陆,D,104115590.17,3368330.84,100747259.33,CNY
300981.SZ,20221231,安全注输行业,I,23587266.27,1277960.03,22309306.24,CNY
300981.SZ,20221231,输注类产品,P,23587266.27,1277960.03,22309306.24,CNY
300981.SZ,20221231,其他业务,P,8880830.1,5441213.59,3439616.51,CNY
